video_id,title,description,published_at,position,view_count,like_count,comment_count,comments_disabled,duration_iso,duration_sec,definition,caption,licensed,tags,category_id,audio_language,live_status,year,age_days,is_live,is_short,duration_min,engagement_rate,comment_rate,views_per_day
2-PbgwJAHm4,Andrea Bocelli - The Blessing (lyric video en español),"Andrea Bocelli - The Blessing (Lyric video en Español)
Andrea Bocelli, Kari Jobe & Cody Carnes - The Blessing Listen here: https://andreabocelli.lnk.to/theblessingID

Maestro Andrea Bocelli teams up with the award-winning contemporary Christian music singers, Kari Jobe and Cody Carnes, for a brand new version of the uplifting GRAMMY nominated track, ‘The Blessing’, released by Decca / Capitol Christian Music Group.

‘The Blessing’, spreading a powerful message of hope, peace and divine protection, became a viral hit and worldwide success for the husband and wife duo, Jobe and Carnes, when originally released in 2020. Within its first months over 100 churches and virtual choirs around the world recorded their own multilingual versions of the track, turning it into a global movement. Since then, the original has garnered over half a billion global streams and over 600 million social views and counting, winning awards and multiple nominations along the way. 

Today’s stirring collaboration, with Andrea Bocelli’s emotive voice, complete with Italian lyrics, offers a profound sense of unity and support. 

Lyric video: Tobias Lever, Two Suns Creative

M° ANDREA BOCELLI MANAGEMENT TEAM 
Veronica Bocelli & Francesco Pasquero 
Project Manager: Sara Formicola 
P.A.: Valentina Pianezzi 
Web & Coordation: Massimiliano Ballanti 
Info: info@andreabocelli.com

Follow Maestro Andrea Bocelli: 
Instagram:  https://www.instagram.com/andreabocelliofficial   
Facebook:  https://www.facebook.com/andreabocelli   
TikTok:  https://www.tiktok.com/@andreabocelliof   
X: https://x.com/AndreaBocelli 
Website: https://www.andreabocelli.com",2025-11-21 16:00:04+00:00,10,85547,4141,327,False,PT5M24S,324,hd,false,False,Andrea Bocelli|Andrea Bocelli live,10,en-GB,none,2025,291,False,False,5.4,0.048406139315230225,0.0038224601680947315,293.97594501718214
ZltPT1Xk3dw,Andrea Bocelli - Con Te Partiro - Live at “Teatro Del Silenzio” 2024,"Maestro Andrea Bocelli performs a breathtaking performance of “Con Te Partiro"" Live at “Teatro Del Silenzio” taken from “Andrea Bocelli 30: The Celebration”. A powerful collaboration blending opera, rock, and timeless artistry.
 
Listen here: https://andreabocelli.lnk.to/WhoWantsToLiveForever
 
#AndreaBocelli
 
Andrea Bocelli shines in the star-studded trailer for 'Andrea Bocelli 30: The Celebration' 
from Mercury Studios and Fathom.
This concert film was directed by Sam Wrench & produced by Mercury Studios, Fathom, Maverick, Impact Productions and Almud.
 
For more information:
“Andrea Bocelli 30: The Celebration”
https://www.fathomevents.com/andrea-bocelli-30-the-celebration/
 
Mercury Studios
www.Mercurystudios.co
 
M° ANDREA BOCELLI MANAGEMENT TEAM 
Veronica Bocelli & Francesco Pasquero 
Project Manager: Sara Formicola
P.A.: Valentina Pianezzi
Web & Coordination: Massimiliano Ballanti
Info: info@andreabocelli.com
 
Follow Andrea: 
Instagram: https://www.instagram.com/andreabocelliofficial  
Facebook:  https://www.instagram.com/andreabocelli
TikTok:  https://www.tiktok.com/@andreabocelliofficial  
X: https://x.com/AndreaBocelli",2025-11-14 16:00:59+00:00,11,441634,6521,347,False,PT4M3S,243,hd,false,False,Andrea Bocelli|Andrea Bocelli live,10,en-GB,none,2025,298,False,False,4.05,0.014765620400603214,0.0007857184908770611,1481.993288590604
4g_1RcQUzyw,"Watch the 'Inspirational Video' for 'The Blessing', only on Andrea's YouTube channel!",,2025-11-12 15:00:04+00:00,12,39446,1170,24,False,PT30S,30,hd,false,False,,10,en-GB,none,2025,300,False,True,0.5,0.029660802109212594,0.000608426709932566,131.48666666666668
udqxXKFhv7Y,"'The Blessing' with Kari Jobe and Cody Carnes, available everywhere now!",,2025-11-07 13:02:43+00:00,13,81919,3294,123,False,PT31S,31,hd,false,False,,10,en-GB,none,2025,305,False,True,0.5166666666666667,0.04021045178774155,0.0015014831724020068,268.5868852459016
vwuyeHmHcfM,Andrea Bocelli - The Blessing (Inspirational Video),"Andrea Bocelli - The Blessing Listen here: https://andreabocelli.lnk.to/theblessing

Maestro Andrea Bocelli teams up with the award-winning contemporary Christian music singers, Kari Jobe and Cody Carnes, for a brand new version of the uplifting GRAMMY nominated track, ‘The Blessing’, released by Decca / Capitol Christian Music Group.

‘The Blessing’, spreading a powerful message of hope, peace and divine protection, became a viral hit and worldwide success for the husband and wife duo, Jobe and Carnes, when originally released in 2020. Within its first months over 100 churches and virtual choirs around the world recorded their own multilingual versions of the track, turning it into a global movement. Since then, the original has garnered over half a billion global streams and over 600 million social views and counting, winning awards and multiple nominations along the way. 

Today’s stirring collaboration, with Andrea Bocelli’s emotive voice, complete with Italian lyrics, offers a profound sense of unity and support. 


M° ANDREA BOCELLI MANAGEMENT TEAM
Veronica Bocelli & Francesco Pasquero 
Project Manager: Sara Formicola 
P.A.: Valentina Pianezzi
Web & Coordation: Massimiliano Ballanti
Info: info@andreabocelli.com
 
Follow Maestro Andrea Bocelli: 
Instagram:  @andreabocelliofficial  
Facebook:  @andreabocelli  
TikTok:  @andreabocelliof  
X: @AndreaBocelli
Website: https://www.andreabocelli.com
 
Footage supplied by Jukin Licensing

#andreabocelli #theblessing",2025-11-07 09:01:36+00:00,14,152419,3623,254,False,PT5M24S,324,hd,false,False,Andrea Bocelli|Andrea Bocelli live,10,en-GB,none,2025,305,False,False,5.4,0.02377000242751888,0.0016664589060418978,499.7344262295082
5oqgplyHk9k,Andrea Bocelli - Fall On Me (with Matteo Bocelli) - Live at “Teatro Del Silenzio” 2024,"Maestro Andrea Bocelli joins family Matteo Bocelli Live at “Teatro Del Silenzio” for a breathtaking performance of “Fall On Me” taken from “Andrea Bocelli 30: The Celebration”. A powerful collaboration blending opera, rock, and timeless artistry.
 
Listen here: https://andreabocelli.lnk.to/WhoWantsToLiveForever
 
#AndreaBocelli #MatteoBocelli
 
Andrea Bocelli shines in the star-studded trailer for 'Andrea Bocelli 30: The Celebration' 
from Mercury Studios and Fathom.
This concert film was directed by Sam Wrench & produced by Mercury Studios, Fathom, Maverick, Impact Productions and Almud.
 
For more information:
“Andrea Bocelli 30: The Celebration”
https://www.fathomevents.com/andrea-bocelli-30-the-celebration/
 
Mercury Studios
www.Mercurystudios.co
 
M° ANDREA BOCELLI MANAGEMENT TEAM 
Veronica Bocelli & Francesco Pasquero 
Project Manager: Sara Formicola
P.A.: Valentina Pianezzi
Web & Coordination: Massimiliano Ballanti
Info: info@andreabocelli.com
 
Follow Andrea: 
Instagram: https://www.instagram.com/andreabocelliofficial  
Facebook:  https://www.instagram.com/andreabocelli
TikTok:  https://www.tiktok.com/@andreabocelliofficial  
X: https://x.com/AndreaBocelli",2025-10-31 16:00:11+00:00,15,120097,3889,229,False,PT3M48S,228,hd,false,False,Andrea Bocelli|Andrea Bocelli live,10,en-GB,none,2025,312,False,False,3.8,0.03238215775581405,0.0019067920097920847,384.92628205128204
y-lEPE6MPUo,Andrea Bocelli - Miserere (with Zucchero) - Live at “Teatro Del Silenzio” 2024,"Maestro Andrea Bocelli joins Zucchero Live at “Teatro Del Silenzio” for a breathtaking performance of “Miserere” taken from “Andrea Bocelli 30: The Celebration”. A powerful collaboration blending opera, rock, and timeless artistry.
 
Listen here: https://andreabocelli.lnk.to/WhoWantsToLiveForever
 
#AndreaBocelli #Zucchero
 
Andrea Bocelli shines in the star-studded trailer for 'Andrea Bocelli 30: The Celebration' 
from Mercury Studios and Fathom.
This concert film was directed by Sam Wrench & produced by Mercury Studios, Fathom, Maverick, Impact Productions and Almud.
 
For more information:
“Andrea Bocelli 30: The Celebration”
https://www.fathomevents.com/andrea-bocelli-30-the-celebration/
 
Mercury Studios
www.Mercurystudios.co
 
M° ANDREA BOCELLI MANAGEMENT TEAM 
Veronica Bocelli & Francesco Pasquero 
Project Manager: Sara Formicola
P.A.: Valentina Pianezzi
Web & Coordination: Massimiliano Ballanti
Info: info@andreabocelli.com
 
Follow Andrea: 
Instagram: https://www.instagram.com/andreabocelliofficial  
Facebook:  https://www.instagram.com/andreabocelli
TikTok:  https://www.tiktok.com/@andreabocelliofficial  
X: https://x.com/AndreaBocelli",2025-10-17 15:01:56+00:00,16,253458,4161,234,False,PT4M14S,254,hd,false,False,Andrea Bocelli|Andrea Bocelli live,10,en-GB,none,2025,326,False,False,4.233333333333333,0.016416921146698862,0.0009232298842411761,777.4785276073619
lgK5H9u8AWA,Andrea Bocelli – A Night of Cinematic Magic,"Andrea Bocelli performs some of the most beloved songs from the world of cinema in A Night at the Movies. Experience his timeless voice bringing movie classics to life in a stunning celebration of music and film.

Video Produced by @MercuryStudios 
#AndreaBocelli",2025-10-03 15:01:33+00:00,17,435747,6625,454,False,PT26M23S,1583,hd,false,False,Andrea Bocelli|Andrea Bocelli collaboration|Andrea Bocelli biggest performance|Andrea Bocelli live|Andrea Bocelli 2025|Andrea Bocelli A Night at the Movies|Andrea Bocelli movie songs|Andrea Bocelli concert|Andrea Bocelli cinema classics|Andrea Bocelli performance|Andrea Bocelli greatest hits|Andrea Bocelli movie night|Andrea Bocelli singing live|Andrea Bocelli cinematic music|Andrea Bocelli concert special|Andrea Bocelli timeless voice,10,en-GB,none,2025,340,False,False,26.383333333333333,0.015203776503337946,0.0010418889860400646,1281.6088235294117
ko0giHoY10E,Andrea Bocelli 30: The Celebration - Trailer,"Filmed at the Teatro del Silenzio (Theatre of Silence) in Lajatico over three nights in 2024 and marking his 30th year as an artist, this once-in-a-lifetime event sees classical star Andrea Bocelli appear in his home of Tuscany with a star-studded lineup of special guests to perform songs that have been the pillars of his career. This 2-disc package features two shows – “The Celebration” and “30 Years of Musical Inspiration” and over 4 and a half hours of performances. 
 
With incredible staging including a stunning sundial centrepiece in the middle of a lake, and 500 drones which lift into the sky in three breathtakingly special moments, Bocelli is joined by an 80-piece orchestra, a cast of over 200 musicians and family and friends including Ed Sheeran, Jon Batiste, Shania Twain, Brian May and more. It’s a night that transforms both the landscape and beautiful Tuscan sky into something totally spectacular. The result: a mesmerising and truly unforgettable concert.  
 
Order now: https://mercury-studios.lnk.to/AndreaBocelliTheCelebration

For more information:
Andrea Bocelli 30: The Celebration
https://www.fathomevents.com/andrea-bocelli-30-the-celebration/

Mercury Studios
www.Mercurystudios.co

Andrea Bocelli
https://www.andreabocelli.com

#andreabocelli #andreabocellilive",2025-09-30 14:01:20+00:00,18,98403,2222,142,False,PT1M1S,61,hd,false,False,Andrea Bocelli|Andrea Bocelli live|andrea bocelli concert film|Karol G|vivo por ella|vivo por ella karol g,10,en-GB,none,2025,343,False,False,1.0166666666666666,0.022580612379703872,0.001443045435606638,286.88921282798833
UKDRG4Ao2oY,"‘Vivo por Ella’ live in Vatican City, #GraceForTheWorld Stream it now on DisneyPlus!",,2025-09-17 15:15:22+00:00,19,221450,5379,186,False,PT55S,55,hd,false,False,,10,en-GB,none,2025,356,False,True,0.9166666666666666,0.024289907428313388,0.0008399187175434635,622.0505617977528
dkPrJjajWZ4,Andrea Bocelli and Brian May’s spellbinding version of 'Who Wants To Live Fotever’ is out now!,,2025-08-29 13:01:28+00:00,20,172633,4552,118,False,PT31S,31,hd,false,False,,10,en-GB,none,2025,375,False,True,0.5166666666666667,0.02636807562864574,0.0006835309587390592,460.3546666666667
oygIWCseYI0,Andrea Bocelli - Who Wants To Live Forever (with Brian May) - Live at “Teatro Del Silenzio” 2024,"Maestro Andrea Bocelli joins Queen’s legendary guitarist Brian May Live at “Teatro Del Silenzio” for a breathtaking performance of “Who Wants To Live Forever,” taken from “Andrea Bocelli 30: The Celebration”. A powerful collaboration blending opera, rock, and timeless artistry.
 
Listen here: https://andreabocelli.lnk.to/WhoWantsToLiveForever
 
#AndreaBocelli #BrianMay
 
Andrea Bocelli shines in the star-studded trailer for 'Andrea Bocelli 30: The Celebration' 
from Mercury Studios and Fathom.
This concert film was directed by Sam Wrench & produced by Mercury Studios, Fathom, Maverick, Impact Productions and Almud.
 
For more information:
“Andrea Bocelli 30: The Celebration”
https://www.fathomevents.com/andrea-bocelli-30-the-celebration/
 
Mercury Studios
www.Mercurystudios.co
 
M° ANDREA BOCELLI MANAGEMENT TEAM 
Veronica Bocelli & Francesco Pasquero 
Project Manager: Sara Formicola
P.A.: Valentina Pianezzi
Web & Coordination: Massimiliano Ballanti
Info: info@andreabocelli.com
 
Follow Andrea: 
Instagram: https://www.instagram.com/andreabocelliofficial  
Facebook:  https://www.instagram.com/andreabocelli
TikTok:  https://www.tiktok.com/@andreabocelliofficial  
X: https://x.com/AndreaBocelli",2025-08-29 09:01:25+00:00,21,10771424,222192,9454,False,PT5M57S,357,hd,false,False,Andrea Bocelli|Andrea Bocelli live|Andrea Bocelli 30 The Celebration|Andrea Bocelli Who Wants To Live Forever|Andrea Bocelli Brian May|Brian May live|Brian May collaboration|Queen Brian May|Andrea Bocelli Queen|Who Wants To Live Forever live|Queen classic|Andrea Bocelli concert|Andrea Bocelli performance|opera and rock collaboration|legendary duet|Andrea Bocelli 2025|iconic music moments,10,en-GB,none,2025,375,False,False,5.95,0.020627913263835868,0.0008776926801878749,28723.797333333332
asywtWMhx-s,Andrea Bocelli’s Most Memorable Collaborations with Stars,"Discover Andrea Bocelli’s most iconic collaborations, bringing together his timeless voice with another legendary artists. This unforgettable performance showcases the power of music and Bocelli’s global impact.

0:00:19 - Sofia Carson
0:04:17 - Heather Headley
0:09:20 - Celine Dion
0:14:05 - Ariana Grande
0:18:57 - Matteo Bocelli
0:22:57 - Ana María Martínez

Video Produced by @MercuryStudios 

#AndreaBocelli",2025-08-21 14:00:08+00:00,22,1079221,11622,582,False,PT27M13S,1633,hd,false,False,Andrea Bocelli|Andrea Bocelli collaboration|Andrea Bocelli duet|Andrea Bocelli biggest performance|Andrea Bocelli live|Andrea Bocelli greatest hits|Andrea Bocelli 2025|Andrea Bocelli songs|Andrea Bocelli music video|Andrea Bocelli concert|classical crossover|famous duets|opera pop duet|legendary collaborations|Bocelli singing live|Bocelli timeless voice|Sofia Carson|Heather Headley|Celine Dion|Ariana Grande|Matteo Bocelli|Ana María Martínez,10,en-GB,none,2025,383,False,False,27.216666666666665,0.01076887866340629,0.0005392778680177647,2817.809399477807
KEJShIbbccA,Andrea's new video for 'Polvere e Gloria' with inspirational words from Jannik Sinner out now!,,2025-06-23 10:53:16+00:00,23,67420,2245,86,False,PT34S,34,hd,false,False,,10,en-GB,none,2025,442,False,True,0.5666666666666667,0.03329872441412044,0.001275585879560961,152.5339366515837
x77wOnUFaQY,Andrea Bocelli 'Polvere e Gloria' with Jannik Sinner. Out now!,,2025-06-20 08:25:30+00:00,24,71533,2781,97,False,PT29S,29,hd,false,False,,10,en-GB,none,2025,445,False,True,0.48333333333333334,0.03887716158975578,0.0013560175024114743,160.74831460674156
Hn_XkJQcdeo,Andrea Bocelli - Polvere e Gloria ft. Jannik Sinner,"Andrea Bocelli feat. Jannik Sinner 'Polvere e Gloria’
Listen here: https://andreabocelli.lnk.to/PolvereeGloria
 
A musical dialogue between two Italian icons, blending opera and storytelling.
 
What happens when two champions meet off the court, in the shared realm of lived experience? The result is 'Polvere e Gloria', a surprising musical collaboration between Maestro Andrea Bocelli and Jannik Sinner, out now via Decca Records / Universal Music. The piece is a conversation between generations—two different paths driven by the same passion.
 
In 'Polvere e Gloria' sung in both Italian and English, Maestro Andrea Bocelli lends his warm voice to intense and solemn verses, while Jannik Sinner contributes with a sincere tone—speaking almost as if thinking aloud. Alongside the tenor's operatic voice, the athlete’s words come across like life notes “All you have to do is to be yourself,” “Improve every day, talent doesn't exist, it has to be earned.”
 
----
 
VIDEO PRODUCTION CREDITS
 
PRODUCTION COMPANY: Run Production 
DIRECTOR, DOP: Gaetano Morbioli 
PRODUCERS: Laura Castellotti, Federica Filippini 
ASSISTANT DIRECTOR: Peter Facchetti 
MUA: Antonella Melani 
CAMERA OPERATOR: Emilio Calì 
AUDIO ASSISTANT: Alessandro Caruso 
EDITING: Gaetano Morbioli
 
SONG PRODUCTION CREDIT
 
PRODUCED BY: PPG Pierpaolo Guerrini
SOUND ENGINEER: Pierpaolo Guerrini 
MIXING TO: PPG Studios 
WRITEN BY Stephan Moccio, Giovanni Caccamo, Alfredo Rapetti Cheope, Maestro Andrea Bocelli 
 
M° ANDREA BOCELLI MANAGEMENT TEAM
Veronica Bocelli & Francesco Pasquero 
Project Manager: Sara Formicola 
P.A.: Valentina Pianezzi
Web & Coordation: Massimiliano Ballanti
Info: info@andreabocelli.com
 
JANNIK SINNER MANAGEMENT TEAM 
Avima Global
Alex Vittur
Alex Meliss
Fulvia Moscheen
 
Follow Maestro Andrea Bocelli: 
Instagram: https://www.instagram.com/andreabocelliofficial
Facebook: https://www.facebook.com/andreabocelli
TikTok: https://www.tiktok.com/@andreabocelliof
X: https://x.com/AndreaBocelli
Website: https://www.andreabocelli.com
 
Follow Jannik Sinner:
Instagram: https://www.instagram.com/janniksin/
Facebook: https://www.facebook.com/jannik.sinner.585
TikTok: https://www.tiktok.com/@janniksin
X: https://x.com/janniksin
Website: https://www.janniksinner.com/",2025-06-20 08:00:18+00:00,25,1990644,40692,2638,False,PT4M8S,248,hd,false,True,Andrea Bocelli|Jannik Sinner|Decca (UMO) (Classics)|Pop,10,en,none,2025,445,False,False,4.133333333333334,0.020441625926082212,0.0013251992822423295,4473.357303370786
Xib82BIvhCQ,A new acoustic version of 'Je vis pour elle' is available to stream now or watch the new video!,,2025-05-09 14:51:11+00:00,26,80621,3470,117,False,PT30S,30,hd,false,False,,10,en-GB,none,2025,487,False,True,0.5,0.04304089505215763,0.001451234789943067,165.54620123203284
s_BMFRzYOcU,Listen to Andrea Bocelli's 'My Easter': AndreaBocelli.lnk.to/myeaster2025YP,,2025-04-17 13:26:58+00:00,27,58448,3393,101,False,PT30S,30,hd,false,False,,10,en-GB,none,2025,509,False,True,0.5,0.058051601423487545,0.0017280317547221462,114.82907662082515
